counterfactual,num_tot_incidence,denom_tot_incidence,N,tot_incidence,epsilon
chi14,464.9841965854328,2495.168589811556,385,.18635382,.059999999
fed_10pc,15496.10335076228,99707.40712253749,4217,.15541577,.059999999
fed_15usd,268834.713978231,1651561.133776188,11017,.16277613,.059999999
fed_9usd,42451.04498520866,271453.625115253,6529,.15638416,.059999999
chi14,464.9841965854328,2703.313561768959,385,.17200528,.064999998
fed_10pc,15496.10335076228,108040.4674804062,4217,.1434287,.064999998
fed_15usd,268834.713978231,1791688.85678196,11017,.15004542,.064999998
fed_9usd,42603.9667163454,295429.9077484608,6762,.14421007,.064999998
chi14,464.9841965854328,2911.491526473159,385,.15970653,.07
fed_10pc,15743.84327121079,118272.9314281084,4496,.13311452,.07
fed_15usd,268834.713978231,1932206.377323151,11017,.13913354,.07
fed_9usd,42603.9667163454,318300.9426813126,6762,.13384807,.07
chi14,464.9841965854328,3119.702499126775,385,.14904761,.075000003
fed_10pc,15743.84327121079,126749.1666122377,4496,.1242126,.075000003
fed_15usd,268834.713978231,2073114.895976067,11017,.12967671,.075000003
fed_9usd,42603.9667163454,341192.8899081945,6762,.12486769,.075000003
chi14,464.9841965854328,3327.946458592802,385,.13972105,.079999998
fed_10pc,15957.59020778164,136966.0436863303,4881,.11650763,.079999998
fed_15usd,268834.713978231,2214415.621728897,11017,.1214021,.079999998
fed_9usd,42631.80687808618,364258.0833812654,6784,.11703736,.079999998
chi14,464.9841965854328,3536.22346466948,385,.13149175,.085000001
fed_10pc,15957.59020778164,145558.6575806886,4881,.10962997,.085000001
fed_15usd,268834.713978231,2356109.763039589,11017,.1141011,.085000001
fed_9usd,42631.80687808618,387201.441976428,6784,.1101024,.085000001
chi14,464.9841965854328,3744.533453810694,385,.1241768,.090000004
fed_10pc,15957.59020778164,154155.0743507221,4881,.10351647,.090000004
fed_15usd,268834.713978231,2498198.536944389,11017,.10761143,.090000004
fed_9usd,42631.80687808618,410165.7784512788,6784,.10393799,.090000004
chi14,464.9841965854328,3952.876515386391,385,.11763185,.094999999
fed_10pc,15957.59020778164,162755.2951247394,4881,.098046519,.094999999
fed_15usd,268834.713978231,2640683.159124374,11017,.10180499,.094999999
fed_9usd,42631.80687808618,433151.1100477576,6784,.098422483,.094999999
chi14,464.9841965854328,4161.252592883799,385,.1117414,.1
fed_10pc,15957.59020778164,171359.3226666301,4881,.093123563,.1
fed_15usd,268834.713978231,2783564.85711956,11017,.096579291,.1
fed_9usd,42631.80687808618,456157.4599955827,6784,.093458533,.1
chi14,464.9841965854328,4369.661731237255,385,.10641194,.105
fed_10pc,15957.59020778164,179967.1575008705,4881,.088669457,.105
fed_15usd,268834.713978231,2926844.854330063,11017,.091851369,.105
fed_9usd,42643.10363420472,479262.400333181,6798,.088976525,.105
chi14,464.9841965854328,4578.103879581993,385,.10156699,.11
fed_10pc,15957.59020778164,188578.8028360233,4881,.084620275,.11
fed_15usd,268834.713978231,3070524.381146431,11017,.08755336,.11
fed_9usd,42643.10363420472,502314.5448478758,6798,.084893227,.11
chi14,464.9841965854328,4786.579088961593,385,.097143322,.115
fed_10pc,15957.59020778164,197194.2595065311,4881,.0809232,.115
fed_15usd,268834.713978231,3214604.671074867,11017,.083629169,.115
fed_9usd,42643.10363420472,525387.7698632032,6798,.081165008,.115
chi14,464.9841965854328,4995.087398513951,385,.093088299,.12
fed_10pc,15968.82898161933,205901.2912556008,4903,.077555753,.12
fed_15usd,268834.713978231,3359086.957544327,11017,.08003208,.12
fed_9usd,42662.34552713856,548598.8783511221,6822,.077766009,.12
chi14,464.9841965854328,5203.628708200242,385,.089357682,.125
fed_10pc,15968.82898161933,214528.0355974063,4903,.07443703,.125
fed_15usd,268834.713978231,3503972.498649597,11017,.076722838,.125
fed_9usd,42662.34552713856,571719.1978460103,6822,.074621156,.125
chi14,464.9841965854328,5412.203145612009,385,.085914031,.13
fed_10pc,15968.82898161933,223158.596817717,4903,.071558207,.13
fed_15usd,268834.713978231,3649262.525725365,11017,.073668234,.13
fed_9usd,42662.34552713856,594860.6617361605,6822,.071718216,.13
chi14,464.9841965854328,5620.810684239383,385,.082725465,.13500001
fed_10pc,15968.82898161933,231792.976715222,4903,.068892635,.13500001
fed_15usd,268834.713978231,3794958.298380852,11017,.070839964,.13500001
fed_9usd,42662.34552713856,618023.2933217287,6822,.069030322,.13500001
chi14,464.9841965854328,5829.451258651836,385,.079764657,.14
fed_10pc,15968.82898161933,240431.1763668358,4903,.066417463,.14
fed_15usd,268834.713978231,3941061.069760323,11017,.068213791,.14
fed_9usd,42783.65645598993,642291.9546232522,6978,.066610917,.14
